"pli-tv-bi-pm:9.0","Expulsion 1. Sexual Intercourse "
"pli-tv-bi-pm:65.3","pli-tv-bu-vb-np27:1.47"
"pli-tv-bi-pm:65.4","pli-tv-bu-vb-np27:1.48"
"pli-tv-bi-pm:66.0","Relinquishment With Confession 29: Haste-Cloth "
"pli-tv-bi-pm:66.1","pli-tv-bu-vb-np28:1.2.19.1"
"pli-tv-bi-pm:66.2","pli-tv-bu-vb-np28:1.2.20"
"pli-tv-bi-pm:67.0","Relinquishment With Confession 30: Offerings Intended for the Saṅgha "
"pli-tv-bi-pm:67.1","pli-tv-bu-vb-np30:1.27.1"
"pli-tv-bi-pm:67.2","The sub-chapter on bowls is finished "
"pli-tv-bi-pm:68.1","pli-tv-bu-vb-np30:2.43"
"pli-tv-bi-pm:68.2","pli-tv-bu-vb-np30:2.44,pli-tv-bu-vb-np30:2.45"
"pli-tv-bi-pm:68.3","pli-tv-bu-vb-np30:2.46,pli-tv-bu-vb-np30:2.47"
"pli-tv-bi-pm:68.4","pli-tv-bu-vb-np30:2.48,pli-tv-bu-vb-np30:2.49"
"pli-tv-bi-pm:68.5","pli-tv-bu-vb-np30:2.50,pli-tv-bu-vb-np30:2.51"
"pli-tv-bi-pm:68.6","The offenses entailing relinquishment and confession are finished. "
"pli-tv-bi-pm:69.0","Recitation of the Rules of Confession "
"pli-tv-bi-pm:69.1","pli-tv-bi-vb-pc1:0.6"
"pli-tv-bi-pm:70.0.2","Confession 1: Garlic "
"pli-tv-bi-pm:70.1","pli-tv-bi-vb-pc1:1.41.1"
"pli-tv-bi-pm:71.0","Confession 2: Pubic Hair "
"pli-tv-bi-pm:71.1","pli-tv-bi-vb-pc2:1.14.1"
"pli-tv-bi-pm:72.0","Confession 3: Masturbation "
"pli-tv-bi-pm:72.1","pli-tv-bi-vb-pc3:1.14.1"
"pli-tv-bi-pm:73.0","Confession 4: Dildos "
"pli-tv-bi-pm:73.1","pli-tv-bi-vb-pc4:1.21.1"
"pli-tv-bi-pm:74.0","Confession 5: Douching "
"pli-tv-bi-pm:74.1","pli-tv-bi-vb-pc5:1.2.12.1"
"pli-tv-bi-pm:75.0","Confession 6: Attending a Monk "
"pli-tv-bi-pm:75.1","pli-tv-bi-vb-pc6:1.19.1"
"pli-tv-bi-pm:76.0","Confession 7: Raw Grain "
"pli-tv-bi-pm:76.1","pli-tv-bi-vb-pc7:1.14.1"
"pli-tv-bi-pm:77.0","Confession 8: Disposing Feces "
"pli-tv-bi-pm:77.1","pli-tv-bi-vb-pc8:1.26.1"
"pli-tv-bi-pm:78.0","Confession 9: Disposing Feces on Plants "
"pli-tv-bi-pm:78.1","pli-tv-bi-vb-pc9:1.15.1"
"pli-tv-bi-pm:79.0","Confession 10: Dancing and Singing "
"pli-tv-bi-pm:79.1","pli-tv-bi-vb-pc10:1.15.1"
"pli-tv-bi-pm:79.2","pli-tv-bi-vb-pc10:2.2.10"
"pli-tv-bi-pm:80.0.2","Confession 11: The Dark of the Night "
"pli-tv-bi-pm:80.1","pli-tv-bi-vb-pc11:1.12.1"
"pli-tv-bi-pm:81.0","Confession 12: Concealed Places "
"pli-tv-bi-pm:81.1","pli-tv-bi-vb-pc12:1.13.1"
"pli-tv-bi-pm:82.0","Confession 13: Talking In the Open "
"pli-tv-bi-pm:82.1","pli-tv-bi-vb-pc13:1.13.1"
"pli-tv-bi-pm:83.0","Confession 14: Dismissing a Companion "
"pli-tv-bi-pm:83.1","pli-tv-bi-vb-pc14:1.11.1"
"pli-tv-bi-pm:84.0","Confession 15: Departing Without Taking Leave "
"pli-tv-bi-pm:84.1","pli-tv-bi-vb-pc15:1.19.1"
"pli-tv-bi-pm:85.0","Confession 16: Sitting Without Permission "
"pli-tv-bi-pm:85.1","pli-tv-bi-vb-pc16:1.15.1"
"pli-tv-bi-pm:86.0","Confession 17: Laying Bedding Without Permission "
"pli-tv-bi-pm:86.1","pli-tv-bi-vb-pc17:1.20.1"
"pli-tv-bi-pm:87.0","Confession 18: Complaining About Others "
"pli-tv-bi-pm:87.1","pli-tv-bi-vb-pc18:1.15.1"
"pli-tv-bi-pm:88.0","Confession 19: Cursing Another "
"pli-tv-bi-pm:88.1","pli-tv-bi-vb-pc19:1.17.1"
"pli-tv-bi-pm:89.0","Confession 20: Crying "
"pli-tv-bi-pm:89.1","pli-tv-bi-vb-pc20:1.11.1"
"pli-tv-bi-pm:89.2","pli-tv-bi-vb-pc20:2.2.6"
"pli-tv-bi-pm:90.0.2","Confession 21: Nakedness "
"pli-tv-bi-pm:90.1","pli-tv-bi-vb-pc21:1.16.1"
"pli-tv-bi-pm:91.0","Confession 22: Bathing Robes "
"pli-tv-bi-pm:91.1","pli-tv-bi-vb-pc22:1.14.1"
"pli-tv-bi-pm:92.0","Confession 23: Sewing Robes "
"pli-tv-bi-pm:92.1","pli-tv-bi-vb-pc23:1.20.1"
"pli-tv-bi-pm:93.0","Confession 24: Moving Robes "
"pli-tv-bi-pm:93.1","pli-tv-bi-vb-pc24:1.16.1"
"pli-tv-bi-pm:94.0","Confession 25: Borrowed Robes "
"pli-tv-bi-pm:94.1","pli-tv-bi-vb-pc25:1.18.1"
"pli-tv-bi-pm:95.0","Confession 26: Group Robes "
"pli-tv-bi-pm:95.1","pli-tv-bi-vb-pc26:1.19.1"
"pli-tv-bi-pm:96.0","Confession 27: Blocking Robe Distribution "
"pli-tv-bi-pm:96.1","pli-tv-bi-vb-pc27:1.18.1"
"pli-tv-bi-pm:97.0","Confession 28: Giving RObes "
"pli-tv-bi-pm:97.1","pli-tv-bi-vb-pc28:1.15.1"
"pli-tv-bi-pm:98.0","Confession 29: Letting the Time Expire "
"pli-tv-bi-pm:98.1","pli-tv-bi-vb-pc29:1.21.1"
"pli-tv-bi-pm:99.0","Confession 30: Ending the Robe-Making Season "
"pli-tv-bi-pm:99.1","pli-tv-bi-vb-pc30:1.2.15.1"
"pli-tv-bi-pm:99.2","pli-tv-bi-vb-pc30:2.2.6"
"pli-tv-bi-pm:100.0.2","Confession 31: Lying on the Same Bed "
"pli-tv-bi-pm:100.1","pli-tv-bi-vb-pc31:1.14.1"
"pli-tv-bi-pm:101.0","Confession 32: Lying on the Same Sheet "
"pli-tv-bi-pm:101.1","pli-tv-bi-vb-pc32:1.14.1"
"pli-tv-bi-pm:102.0","Confession 33: Making Ill at Ease "
"pli-tv-bi-pm:102.1","pli-tv-bi-vb-pc33:1.16.1"
"pli-tv-bi-pm:103.0","Confession 34: Not Nursing "
"pli-tv-bi-pm:103.1","pli-tv-bi-vb-pc34:1.11.1"
"pli-tv-bi-pm:104.0","Confession 35: Throwing Out a Monastic "
"pli-tv-bi-pm:104.1","pli-tv-bi-vb-pc35:1.23.1"
"pli-tv-bi-pm:105.0","Confession 36: Socializing "
"pli-tv-bi-pm:105.1","pli-tv-bi-vb-pc36:1.11.1"
"pli-tv-bi-pm:105.2","pli-tv-bi-vb-pc36:1.12"
"pli-tv-bi-pm:105.3","pli-tv-bi-vb-pc36:1.13"
"pli-tv-bi-pm:105.4,pli-tv-bi-pm:105.5 ","pli-tv-bi-vb-pc36:1.14"
"pli-tv-bi-pm:106.0","Confession 37: Within Their Own Country "
"pli-tv-bi-pm:106.1","pli-tv-bi-vb-pc37:1.12.1"
"pli-tv-bi-pm:107.0","Confession 38: Outside Their Own Country "
"pli-tv-bi-pm:107.1","pli-tv-bi-vb-pc38:1.12.1"
"pli-tv-bi-pm:108.0","Confession 39: During the Rainy Season "
"pli-tv-bi-pm:108.1","pli-tv-bi-vb-pc39:1.14.1"
"pli-tv-bi-pm:109.0","Confession 40: Going Wandering "
"pli-tv-bi-pm:109.1","pli-tv-bi-vb-pc40:1.13.1"
"pli-tv-bi-pm:109.2","pli-tv-bi-vb-pc40:2.2.9"
"pli-tv-bi-pm:110.0.2","Confession 41: Royal Houses "
"pli-tv-bi-pm:110.1","pli-tv-bi-vb-pc41:1.16.1"
"pli-tv-bi-pm:111.0","Confession 42: Using High Couches "
"pli-tv-bi-pm:111.1","pli-tv-bi-vb-pc42:1.14.1"
"pli-tv-bi-pm:112.0","Confession 43: Spinning Yarn "
